S.NO,REGULATION,Year,SEMESTER,ODD EVEN,DEPARTMENT,Course Code,Course Title,L,T,P,C,"As per Regulation
L/T/P",Category,Venue,Faculty
48,2023,3,6,EVEN,Aeronautical Engineering,AE23632,Innovation and Design Thinking for Engineers,0,0,2,2,2,Laboratory,,Aeronautical Engineering
49,2023,3,6,EVEN,Aeronautical Engineering,AEPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Aeronautical Engineering
50,2023,3,6,EVEN,Aeronautical Engineering,AE23621,Artificial Intelligence and Machine Learning for Aeronautical Engineering,0,0,4,2,4,Laboratory,Aero CAD Lab,Aeronautical Engineering
51,2023,3,6,EVEN,Aeronautical Engineering,AE23622,Jet propulsion Laboratory,0,0,4,2,4,Laboratory,Aerodynamics Lab,Aeronautical Engineering
52,2023,3,6,EVEN,Aeronautical Engineering,AE23623,Computational Simulation Laboratory,0,0,4,2,4,Laboratory,Aero CAD Lab,Aeronautical Engineering
53,2023,3,6,EVEN,Aeronautical Engineering,GE23627,Problem Solving Techniques,0,0,2,1,2,Laboratory,,Aeronautical Engineering
55,2023,4,7,ODD,Aeronautical Engineering,AE23731,Avionics,3,0,2,4,5,LOT,Avionics Lab,Aeronautical Engineering
56,2023,4,7,ODD,Aeronautical Engineering,GE23711,Fundamentals of Management for Engineers,3,0,0,3,3,Theory,,Aeronautical Engineering
57,2023,4,7,ODD,Aeronautical Engineering,AEPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Aeronautical Engineering
58,2023,4,7,ODD,Aeronautical Engineering,AEPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Aeronautical Engineering
59,2023,4,7,ODD,Aeronautical Engineering,AEPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Aeronautical Engineering
60,2023,4,7,ODD,Aeronautical Engineering,AE23721,Project Work (Phase - I),0,0,4,2,4,Laboratory,Project Hour,Aeronautical Engineering
63,2023,4,8,EVEN,Aeronautical Engineering,AEPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Aeronautical Engineering
64,2023,4,8,EVEN,Aeronautical Engineering,AE23821,Project Work (Phase - II),0,0,16,8,16,Laboratory,Project Hour,Aeronautical Engineering
65,2023,1,1,ODD,Artificial Intelligence and Data Science,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
66,2023,1,1,ODD,Artificial Intelligence and Data Science,MA23116,Mathematical Foundations for AI,3,1,0,4,4,Theory,,Mathematics
67,2023,1,1,ODD,Artificial Intelligence and Data Science,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,English
68,2023,1,1,ODD,Artificial Intelligence and Data Science,PH23132,Physics for Information Science,3,0,2,4,5,LOT,Physics Lab,Physics
69,2023,1,1,ODD,Artificial Intelligence and Data Science,GE23131,Programming using C,1,0,6,4,7,LOT,Computer Lab,Artificial Intelligence and Data Science
70,2023,1,1,ODD,Artificial Intelligence and Data Science,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
71,2023,1,1,ODD,Artificial Intelligence and Data Science,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
72,2023,1,1,ODD,Artificial Intelligence and Data Science,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Others,,Artificial Intelligence and Data Science
73,2023,1,2,EVEN,Artificial Intelligence and Data Science,MA23214,Probability and Inferential Statistics,3,1,0,4,4,Theory,,Mathematics
74,2023,1,2,EVEN,Artificial Intelligence and Data Science,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Artificial Intelligence and Data Science
75,2023,1,2,EVEN,Artificial Intelligence and Data Science,GE23111,Engineering Graphics,2,0,4,4,6,Theory,,Mechanical Engineering
76,2023,1,2,EVEN,Artificial Intelligence and Data Science,IT23231,Digital Logic and Computer Architecture,3,0,2,4,5,LOT,Digital Lab-1,Artificial Intelligence and Data Science
77,2023,1,2,EVEN,Artificial Intelligence and Data Science,AI23231,Principles of Artificial Intelligence,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
78,2023,1,2,EVEN,Artificial Intelligence and Data Science,CS23231,Data Structures,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Data Science
79,2023,1,2,EVEN,Artificial Intelligence and Data Science,HS23221/HS23222,Technical Communication II/ English for Professional Competence,0,0,2,1,2,Laboratory,,English
80,2023,1,2,EVEN,Artificial Intelligence and Data Science,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
81,2023,1,2,EVEN,Artificial Intelligence and Data Science,CS23221,Python Programming Lab,0,0,4,2,4,Laboratory,Computer Lab,Artificial Intelligence and Data Science
82,2023,2,3,ODD,Artificial Intelligence and Data Science,MA23313,Discrete Mathematics for AI,3,1,0,4,4,Theory,,Mathematics
83,2023,2,3,ODD,Artificial Intelligence and Data Science,AI23331,Fundamentals of Machine Learning,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
84,2023,2,3,ODD,Artificial Intelligence and Data Science,CS23331,Design and Analysis of Algorithms,3,0,2,4,5,LOT,Computer Lab,Artificial Intelligence and Data Science
85,2023,2,3,ODD,Artificial Intelligence and Data Science,CS23332,Database Management Systems,3,0,4,5,7,LOT,Computer Lab,Artificial Intelligence and Data Science
86,2023,2,3,ODD,Artificial Intelligence and Data Science,CS23333,Object Oriented Programming Using JAVA,1,0,6,4,7,LOT,Computer Lab,Artificial Intelligence and Data Science
