S.NO,REGULATION,Year,SEMESTER,ODD EVEN,DEPARTMENT,Course Code,Course Title,L,T,P,C,"As per Regulation
L/T/P",Category,Venue,Faculty
195,2023,2,3,ODD,Automobile Engineering,AT23331,Automotive Engines,3,0,2,4,5,LOT,Thermal Lab 2,Automobile Engineering
196,2023,2,3,ODD,Automobile Engineering,AT23332,Applied Thermodynamics,2,1,2,4,5,LOT,Thermal Lab 1,Automobile Engineering
197,2023,2,3,ODD,Automobile Engineering,AT23333,Strength of Materials for Automobile Engineers,2,1,2,4,5,LOT,Strength of Materials Lab,Automobile Engineering
198,2023,2,3,ODD,Automobile Engineering,AT23334,Production Technology - II,3,0,2,4,5,LOT,Manufacturing Technology II,Automobile Engineering
199,2023,2,3,ODD,Automobile Engineering,AT23321,Computer Aided Machine Drawing Laboratory,0,0,4,2,4,Laboratory,Auto CAD Lab,Automobile Engineering
201,2023,2,4,EVEN,Automobile Engineering,AT23411,Electric and Hybrid Vehicles - I,3,0,0,3,3,Theory,,Automobile Engineering
202,2023,2,4,EVEN,Automobile Engineering,AT23412,Engineering Materials and Metallurgy,3,0,0,3,3,Theory,,Automobile Engineering
203,2023,2,4,EVEN,Automobile Engineering,AT23431,Automotive Drive Line and Chassis,3,0,2,4,5,LOT,Automotive Componenets lab,Automobile Engineering
204,2023,2,4,EVEN,Automobile Engineering,AT23432,Fluid Mechanics and Machinery for Automobile Engineers,2,1,2,4,5,LOT,Fluid Mechanics Lab,Automobile Engineering
205,2023,2,4,EVEN,Automobile Engineering,AT23433,Theory of Machines,2,1,2,4,5,LOT,Fluid Mechanics Lab,Automobile Engineering
206,2023,2,4,EVEN,Automobile Engineering,CS23422,Python Programming for Machine Learning,0,0,4,2,4,LOT,Computer Lab,Automobile Engineering
207,2023,2,4,EVEN,Automobile Engineering,GE23327,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
209,2023,3,5,ODD,Automobile Engineering,AT23511,Machine Design,2,1,0,3,3,Theory,,Automobile Engineering
210,2023,3,5,ODD,Automobile Engineering,GE23311,Fundamentals of Management for Engineers,3,0,0,3,3,Theory,,Automobile Engineering
211,2023,3,5,ODD,Automobile Engineering,ATPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Automobile Engineering
212,2023,3,5,ODD,Automobile Engineering,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
213,2023,3,5,ODD,Automobile Engineering,AT23531,Automotive Electrical and Electronics,3,0,2,4,5,LOT,Electrical Machines I Lab,Automobile Engineering
214,2023,3,5,ODD,Automobile Engineering,AT23532,Electric and Hybrid Vehicles - II,3,0,2,4,5,LOT,Auto CAD Lab,Automobile Engineering
215,2023,3,5,ODD,Automobile Engineering,AT23521,Two and Three wheelers Laboratory,0,0,2,1,2,Laboratory,Automotive Componenets lab,Automobile Engineering
216,2023,3,5,ODD,Automobile Engineering,AT23522,Computer Aided Vehicle Design Data Characteristics Laboratory,0,0,2,1,2,Laboratory,Auto CAD Lab,Automobile Engineering
217,2023,3,5,ODD,Automobile Engineering,GE23427,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
219,2023,3,6,EVEN,Automobile Engineering,ATPE2,Professional Elective – II,3,0,0,3,3+0+0,Professional Elective,,Automobile Engineering
220,2023,3,6,EVEN,Automobile Engineering,OE - 2,Open Elective - II,3,0,0,3,3+0+0,Open Elective,,Common Open Elective
221,2023,3,6,EVEN,Automobile Engineering,AT23631,Automotive System Design,2,1,2,4,2+1+2,LOT,Auto CAD Lab,Automobile Engineering
222,2023,3,6,EVEN,Automobile Engineering,AT23632,Vehicle Dynamics,2,1,2,4,2+1+2,LOT,Auto CAD Lab,Automobile Engineering
223,2023,3,6,EVEN,Automobile Engineering,AT23633,Automotive Fuels and Lubricants,3,0,2,4,3+0+2,LOT,Vehicle Maintenance lab,Automobile Engineering
224,2023,3,6,EVEN,Automobile Engineering,GE23627,Problem Solving Techniques,0,0,2,1,0+0+2,Others,,Placement
225,2023,3,6,EVEN,Automobile Engineering,AT23621,Design Thinking and Innovation for Automobile Engineers,0,0,4,2,0+0+4,Laboratory,,Automobile Engineering
227,2023,4,7,ODD,Automobile Engineering,AT23711,Automotive Pollution and Control,3,0,0,3,3,Theory,,Automobile Engineering
228,2023,4,7,ODD,Automobile Engineering,AT23712,Intelligent Vehicle System,3,0,0,3,3,Theory,,Automobile Engineering
229,2023,4,7,ODD,Automobile Engineering,AT23713,Automotive Safety,3,0,0,3,3,Theory,,Automobile Engineering
230,2023,4,7,ODD,Automobile Engineering,ATPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Automobile Engineering
231,2023,4,7,ODD,Automobile Engineering,AT23721,AI and ML for Automobile Engineers,0,0,4,2,4,LOT,Computer Lab,Automobile Engineering
232,2023,4,7,ODD,Automobile Engineering,AT23722,Vehicle Maintenance Laboratory,0,0,2,1,2,Laboratory,Automotive Componenets lab,Automobile Engineering
233,2023,4,7,ODD,Automobile Engineering,AT23723,Computer Aided Analysis laboratory,0,0,2,1,2,Laboratory,Auto CAD Lab,Automobile Engineering
234,2023,4,7,ODD,Automobile Engineering,AT237X,Industrial Training,0,0,2,1,2,Others,Project Hour,Automobile Engineering
236,2023,4,8,EVEN,Automobile Engineering,ATPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Automobile Engineering
237,2023,4,8,EVEN,Automobile Engineering,ATPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Automobile Engineering
238,2023,4,8,EVEN,Automobile Engineering,AT23821,Project Work,0,0,20,10,20,Laboratory,Project Hour,Automobile Engineering
239,2023,1,1,ODD,Biomedical Engineering,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
240,2023,1,1,ODD,Biomedical Engineering,MA23111,Linear Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
241,2023,1,1,ODD,Biomedical Engineering,GE23111,Engineering Graphics,2,2,0,4,6,Theory,,Mechanical Engineering
242,2023,1,1,ODD,Biomedical Engineering,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Biomedical Engineering
243,2023,1,1,ODD,Biomedical Engineering,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
244,2023,1,1,ODD,Biomedical Engineering,CY23131,Chemistry For Electronics Engineering,3,0,2,4,5,LOT,Chemistry Lab,Chemistry
245,2023,1,1,ODD,Biomedical Engineering,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
247,2023,1,2,EVEN,Biomedical Engineering,MA23212,Differential Equations and Complex Variables,3,1,0,4,4,Theory,,Mathematics
248,2023,1,2,EVEN,Biomedical Engineering,ME23211,Engineering Mechanics for Biomedical Engineers,3,1,0,4,4,Theory,,Mechanical Engineering
249,2023,1,2,EVEN,Biomedical Engineering,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Biomedical Engineering
250,2023,1,2,EVEN,Biomedical Engineering,CS23232,Fundamentals of Data Structures using C,3,0,4,5,7,LOT,Computer Lab,Computer Science and Engineering
251,2023,1,2,EVEN,Biomedical Engineering,PH23231,Physics for Bioscience,3,0,2,4,5,LOT,Physics Lab,Physics
252,2023,1,2,EVEN,Biomedical Engineering,BM23231,Electric Circuits and Machines,3,0,2,4,5,LOT,Engineering Practices Lab (Electronics),Biomedical Engineering
253,2023,1,2,EVEN,Biomedical Engineering,HS23222/HS23223,Technical Communication II / English for Professional Competence,0,0,2,1,2,Laboratory,,English
254,2023,1,2,EVEN,Biomedical Engineering,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Electrical and Electronics Engineering
255,2023,2,3,ODD,Biomedical Engineering,MA23312,Fourier series and Number theory,3,1,0,4,4,Theory,,Mathematics
256,2023,2,3,ODD,Biomedical Engineering,BM23311,Human Anatomy and Physiology,3,0,0,3,3,Theory,,Biomedical Engineering
257,2023,2,3,ODD,Biomedical Engineering,BM23312,Biomedical Instrumentation,3,0,0,3,3,Theory,,Biomedical Engineering
258,2023,2,3,ODD,Biomedical Engineering,BM23313,Biochemical Science,3,0,0,3,3,Theory,,Biomedical Engineering
259,2023,2,3,ODD,Biomedical Engineering,BM23331,Electronic Devices & Circuits,3,0,2,4,5,LOT,Electronics and instrumentation,Biomedical Engineering
260,2023,2,3,ODD,Biomedical Engineering,BM23332,Sensors and Measurements,2,0,2,3,4,LOT,Power Electronics Lab,Biomedical Engineering
261,2023,2,3,ODD,Biomedical Engineering,BM23321,Biochemistry and Physiology Laboratory,0,0,4,2,4,Laboratory,Biochemistry lab,Biomedical Engineering
262,2023,2,3,ODD,Biomedical Engineering,BM23322,Biomedical Instrumentation Laboratory,0,0,4,2,4,Laboratory,Diagnostic and therapeutic equipment lab,Biomedical Engineering
264,2023,2,4,EVEN,Biomedical Engineering,BM23411,Analog and Digital Integrated Circuits,3,0,0,3,3,Theory,,Biomedical Engineering
265,2023,2,4,EVEN,Biomedical Engineering,BM23412,Principles of Communication Systems,3,0,0,3,3,Theory,,Biomedical Engineering
266,2023,2,4,EVEN,Biomedical Engineering,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,Biomedical Engineering
267,2023,2,4,EVEN,Biomedical Engineering,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
268,2023,2,4,EVEN,Biomedical Engineering,MA23416,Probability and Random Process,3,1,0,4,4,Theory,,Mathematics
269,2023,2,4,EVEN,Biomedical Engineering,BM23431,Pathology and Microbiology,2,0,2,3,4,LOT,microbiology lab,Biomedical Engineering
270,2023,2,4,EVEN,Biomedical Engineering,CS23336,Introduction to Python Programming,1,0,4,3,5,LOT,Computer Lab,Computer Science and Engineering
271,2023,2,4,EVEN,Biomedical Engineering,BM23421,Analog and Digital Integrated Circuits Laboratory,0,0,4,2,4,Laboratory,Electronics and instrumentation,Biomedical Engineering
272,2023,2,4,EVEN,Biomedical Engineering,BM23422,PCB Design Laboratory,0,0,2,1,2,Laboratory,Medical Image processing lab,Biomedical Engineering
273,2023,2,4,EVEN,Biomedical Engineering,GE23421,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
274,2023,3,5,ODD,Biomedical Engineering,BM23511,Biocontrol systems,3,0,0,3,3,Theory,,Biomedical Engineering
275,2023,3,5,ODD,Biomedical Engineering,BM23512,Diagnostic and Therapeutic Equipment,3,0,0,3,3,Theory,,Biomedical Engineering
276,2023,3,5,ODD,Biomedical Engineering,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
277,2023,3,5,ODD,Biomedical Engineering,BMPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Biomedical Engineering
278,2023,3,5,ODD,Biomedical Engineering,BM23531,Signals and Systems Analysis,1,1,2,3,4,LOT,Medical Image processing lab,Biomedical Engineering
279,2023,3,5,ODD,Biomedical Engineering,BM23532,Microcontroller and Embedded System Design,3,0,2,4,5,LOT,Microprocessor lab-1,Biomedical Engineering
280,2023,3,5,ODD,Biomedical Engineering,CS23422,Python Programming for Machine Learning,1,0,4,3,4,LOT,Computer Lab,Computer Science and Engineering
281,2023,3,5,ODD,Biomedical Engineering,BM23521,Diagnostic and Therapeutic Equipment Laboratory,0,0,4,2,4,Laboratory,Diagnostic and therapeutic equipment lab,Biomedical Engineering
282,2023,3,5,ODD,Biomedical Engineering,GE23521,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
283,2023,3,6,EVEN,Biomedical Engineering,BM23611,Radiological Equipment,3,0,0,3,3,Theory,,Biomedical Engineering
284,2023,3,6,EVEN,Biomedical Engineering,BM23612,Biomechanics,3,1,0,4,4,Theory,,Biomedical Engineering
285,2023,3,6,EVEN,Biomedical Engineering,BMPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Biomedical Engineering
286,2023,3,6,EVEN,Biomedical Engineering,BMPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Biomedical Engineering
287,2023,3,6,EVEN,Biomedical Engineering,BM23631,Biosignal Processing,1,1,2,3,4,LOT,Medical Image processing lab,Biomedical Engineering
288,2023,3,6,EVEN,Biomedical Engineering,BM23632,Physiological Modeling Laboratory,1,0,2,2,3,LOT,Medical Image processing lab,Biomedical Engineering
289,2023,3,6,EVEN,Biomedical Engineering,BM23633,Design thinking for Innovation in Biomedical Engineering,1,0,2,2,3,LOT,Project Hour,Biomedical Engineering
290,2023,3,6,EVEN,Biomedical Engineering,BM23621,Medical Industrial Training,0,0,2,1,2,Laboratory,,Biomedical Engineering
291,2023,3,6,EVEN,Biomedical Engineering,GE23621,Problem Solving Techniques,0,0,2,1,2,Laboratory,,Biomedical Engineering
293,2023,4,7,ODD,Biomedical Engineering,BM23711,Comprehension In Biomedical Engineering,1,0,0,1,1,Theory,,Biomedical Engineering
294,2023,4,7,ODD,Biomedical Engineering,BMPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Biomedical Engineering
295,2023,4,7,ODD,Biomedical Engineering,BMPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Biomedical Engineering
296,2023,4,7,ODD,Biomedical Engineering,BMPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Biomedical Engineering
297,2023,4,7,ODD,Biomedical Engineering,BM23731,Medical Image Processing,2,1,2,4,5,LOT,Medical Image processing lab,Biomedical Engineering
298,2023,4,7,ODD,Biomedical Engineering,BM23721,Artificial Intelligence and Machine learning for Biomedical Engineering,0,0,4,2,4,LOT,Diagnostic and therapeutic equipment lab,Biomedical Engineering
299,2023,4,7,ODD,Biomedical Engineering,BM23722,Project Work (Phase - I),0,0,6,3,6,Laboratory,Project Hour,Biomedical Engineering
300,2023,4,7,ODD,Biomedical Engineering,BM23723,Hospital Training,0,0,2,1,2,Laboratory,,Biomedical Engineering
301,2023,4,7,ODD,Biomedical Engineering,VAP,Value Added Lab ,,,3,,,Laboratory,,Biomedical Engineering
303,2023,4,8,EVEN,Biomedical Engineering,BM23821,Project Work (Phase - II),0,0,16,8,16,Laboratory,Project Hour,Biomedical Engineering
304,2023,1,1,ODD,Biotechnology,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
305,2023,1,1,ODD,Biotechnology,MA23112,Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
306,2023,1,1,ODD,Biotechnology,CY23132,Chemistry for Technologists,3,0,2,4,5,LOT,Chemistry Lab,Chemistry
307,2023,1,1,ODD,Biotechnology,GE23111,Engineering Graphics,2,0,4,4,6,Theory,,Mechanical Engineering
308,2023,1,1,ODD,Biotechnology,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Mechanical Engineering
309,2023,1,1,ODD,Biotechnology,BT23131,Microbiology,2,0,4,4,6,LOT,microbiology lab,Biotechnology
310,2023,1,1,ODD,Biotechnology,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
311,2023,1,1,ODD,Biotechnology,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Biotechnology
312,2023,1,2,EVEN,Biotechnology,HS23221/HS23222,Technical Communication II/ English for Professional Competence,0,0,2,1,2,Theory,,English
313,2023,1,2,EVEN,Biotechnology,MA23212,Differential Equations and Complex Variables,3,1,0,4,4,Theory,,Mathematics
314,2023,1,2,EVEN,Biotechnology,PH23231,Physics for Bioscience,3,0,2,4,5,LOT,Physics Lab,Physics
315,2023,1,2,EVEN,Biotechnology,GE23231,Programming Using Python,1,0,4,3,5,LOT,Computer Lab,Computer Science and Engineering
316,2023,1,2,EVEN,Biotechnology,GE23212,Basic Civil and Mechanical Engineering,3,0,0,3,3,Theory,,Mechanical Engineering
317,2023,1,2,EVEN,Biotechnology,BT23211,Biochemistry,3,0,0,3,3,Theory,,Biotechnology
318,2023,1,2,EVEN,Biotechnology,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,English
319,2023,1,2,EVEN,Biotechnology,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Biotechnology
320,2023,1,2,EVEN,Biotechnology,BT23221,Biochemistry Laboratory,0,0,4,2,4,Laboratory,Biochemistry lab,Biotechnology
321,2023,2,3,ODD,Biotechnology,MA23311,Transforms and Applied Partial Differential Equations,3,1,0,4,4,Theory,,Mathematics
322,2023,2,3,ODD,Biotechnology,BT23311,Enzyme Technology and Biotransformations,3,0,0,3,3,Theory,,Biotechnology
323,2023,2,3,ODD,Biotechnology,BT23312,Stoichiometry and Fluid Mechanics,3,1,0,3,4,Theory,,Biotechnology
324,2023,2,3,ODD,Biotechnology,BT23313,Molecular Biology,3,0,3,3,3,Theory,,Biotechnology
325,2023,2,3,ODD,Biotechnology,BT23314,Cell Biology,3,0,0,3,3,Theory,,Biotechnology
326,2023,2,3,ODD,Biotechnology,BT23321,Basic Food and Enzyme Technology Laboratory,0,0,2,1,2,Laboratory,microbiology lab,Biotechnology
327,2023,2,3,ODD,Biotechnology,BT23331,Analytical Techniques in Biotechnology,2,0,2,3,4,LOT,Biochemistry lab,Biotechnology
329,2023,2,4,EVEN,Biotechnology,MA23431,"Probability, Statistics and Reliability",3,0,2,4,5,LOT,Computer Lab,Mathematics
330,2023,2,4,EVEN,Biotechnology,BT23411,Food Biotechnology,3,0,0,3,3,Theory,,Biotechnology
331,2023,2,4,EVEN,Biotechnology,BT23412,Genetic Engineering,3,0,0,3,3,Theory,,Biotechnology
332,2023,2,4,EVEN,Biotechnology,BT23413,Thermodynamics and Heat transfer,3,1,0,3,4,Theory,,Biotechnology
333,2023,2,4,EVEN,Biotechnology,BT23414,Basic Industrial Biotechnology,3,0,0,3,3,Theory,,Biotechnology
334,2023,2,4,EVEN,Biotechnology,CS23422,Python Programming for Machine Learning,0,0,4,2,4,Laboratory,Computer Lab,Information Technology
335,2023,2,4,EVEN,Biotechnology,BT23421,Chemical Engineering Laboratory for Biotechnologists,0,0,4,2,4,Laboratory,Fluid Mechanics Lab,Biotechnology
336,2023,2,4,EVEN,Biotechnology,BT23422,Molecular Biology and Genetic Engineering Laboratory,0,0,4,2,4,Laboratory,"Immunology lab, Genetic engineering lab",Biotechnology
337,2023,2,4,EVEN,Biotechnology,GE23421,Soft Skills – I,0,0,2,1,2,Laboratory,SoftSkill,Placement
338,2023,3,5,ODD,Biotechnology,BT23511,Bioprocess Principles,3,0,0,3,3,Theory,,Biotechnology
339,2023,3,5,ODD,Biotechnology,BT23512,Bioinformatics,3,0,0,3,3,Theory,,Biotechnology
340,2023,3,5,ODD,Biotechnology,BT23513,Separation Process Principles,3,1,0,3,4,Theory,,Biotechnology
341,2023,3,5,ODD,Biotechnology,BTPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Biotechnology
342,2023,3,5,ODD,Biotechnology,BTPE2,Professional Elective – II,3,0,0,3,3,Professional Elective,,Biotechnology
343,2023,3,5,ODD,Biotechnology,BTPE3,Professional Elective – III,3,0,0,3,3,Professional Elective,,Biotechnology
344,2023,3,5,ODD,Biotechnology,BT23521,Bioprocess Laboratory- I,0,0,4,2,4,Laboratory,Bioprocess lab,Biotechnology
345,2023,3,5,ODD,Biotechnology,BT23522,Bioinformatics Laboratory,0,0,4,2,4,Laboratory,Computer Lab,Biotechnology
346,2023,3,5,ODD,Biotechnology,GE23521,Soft Skills – II,0,0,2,1,2,Laboratory,SoftSkill,Placement
348,2023,3,6,EVEN,Biotechnology,BT23611,Bioprocess Technology,3,0,0,3,3,Theory,,Biotechnology
349,2023,3,6,EVEN,Biotechnology,BT23612,Chemical Reaction Engineering,3,0,0,3,3,Theory,,Biotechnology
350,2023,3,6,EVEN,Biotechnology,BTPE4,Professional Elective – IV,3,0,0,3,3,Professional Elective,,Biotechnology
351,2023,3,6,EVEN,Biotechnology,BMPE5,Professional Elective – V,3,0,0,3,3,Professional Elective,,Biotechnology
352,2023,3,6,EVEN,Biotechnology,BMPE6,Professional Elective – VI,3,0,0,3,3,Professional Elective,,Biotechnology
353,2023,3,6,EVEN,Biotechnology,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
354,2023,3,6,EVEN,Biotechnology,BT23621,Bioprocess Laboratory II,0,0,4,2,4,Laboratory,Bioprocess lab,Biotechnology
355,2023,3,6,EVEN,Biotechnology,BT23622,Innovation and Design Thinking for Biotechnologists,0,0,4,2,4,Laboratory,Project Hour,Biotechnology
356,2023,3,6,EVEN,Biotechnology,BT23623,Numerical Programming for Biotechnologists,0,0,2,1,2,Laboratory,Computer Lab,Biotechnology
357,2023,3,6,EVEN,Biotechnology,GE23622,Problem Solving Techniques,0,0,2,1,2,Others,,Placement
359,2023,4,7,ODD,Biotechnology,BT23711,Downstream Processing,3,0,0,3,3,Theory,,Biotechnology
360,2023,4,7,ODD,Biotechnology,BT23712,Immunology,3,0,0,3,3,Theory,,Biotechnology
361,2023,4,7,ODD,Biotechnology,BT23713,Protein Engineering,3,0,0,3,3,Theory,,Biotechnology
362,2023,4,7,ODD,Biotechnology,BT23714,Comprehensive Course for Biotechnologists,2,0,0,2,2,Theory,,Biotechnology
363,2023,4,7,ODD,Biotechnology,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
364,2023,4,7,ODD,Biotechnology,BT23721,Downstream Processing Lab,0,0,4,2,4,Laboratory,Downstream processing lab,Biotechnology
365,2023,4,7,ODD,Biotechnology,BT23722,Immunology lab,0,0,4,2,4,Laboratory,Immunology lab,Biotechnology
366,2023,4,7,ODD,Biotechnology,BT23723,Artificial Intelligence and Machine Learning for Biotechnologist,0,0,4,2,4,Laboratory,Computer Application in Chemical Engg lab,Biotechnology
367,2023,4,7,ODD,Biotechnology,BT23724,Industry Training (2 weeks Training during vacation),0,0,0,1,0,Others,,Biotechnology
368,2023,4,7,ODD,Biotechnology,CR23P62,Microfluidics Laboratory,0,0,2,1,2,Laboratory,MEMS Lab,Biotechnology
370,2023,4,8,EVEN,Biotechnology,BT23821,Project Work,0,0,24,12,24,Laboratory,Project Hour,Biotechnology
371,2023,1,1,ODD,Chemical Engineering,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
372,2023,1,1,ODD,Chemical Engineering,MA23112,Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
373,2023,1,1,ODD,Chemical Engineering,PH23111,Physics for Chemical Engineering,3,0,0,3,3,Theory,,Physics
374,2023,1,1,ODD,Chemical Engineering,CY23312,Chemistry for Technologists,3,0,2,4,5,LOT,Chemistry Lab,Chemistry
375,2023,1,1,ODD,Chemical Engineering,GE23111,Engineering Graphics,2,2,0,4,4,Theory,,Mechanical Engineering
376,2023,1,1,ODD,Chemical Engineering,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)",Mechanical Engineering
377,2023,1,1,ODD,Chemical Engineering,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
378,2023,1,1,ODD,Chemical Engineering,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Chemical Engineering
380,2023,1,2,EVEN,Chemical Engineering,HS23222/HS23223,Technical Communication II / English for Professional Competence,0,0,2,1,2,Theory,,English
381,2023,1,2,EVEN,Chemical Engineering,MA23212,Differential Equations and Complex Variables,3,1,0,4,4,Theory,,Mathematics
382,2023,1,2,EVEN,Chemical Engineering,CH23211,Introduction to Chemical Engineering,3,0,0,3,3,Theory,,Chemical Engineering
383,2023,1,2,EVEN,Chemical Engineering,GE23233,Problem Solving and Python Programming,2,0,4,4,4,LOT,Computer Lab,Computer Science and Engineering
384,2023,1,2,EVEN,Chemical Engineering,PH23233,Material Science,3,0,2,4,4,LOT,Physics Lab,Physics
385,2023,1,2,EVEN,Chemical Engineering,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,4,LOT,Electrical Machines I Lab,Electrical and Electronics Engineering
386,2023,1,2,EVEN,Chemical Engineering,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,1,Laboratory,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)",Civil Engineering
387,2023,1,2,EVEN,Chemical Engineering,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,Chemical Engineering
388,2023,1,2,EVEN,Chemical Engineering,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Chemical Engineering
389,2023,2,3,ODD,Chemical Engineering,MA23311,Transforms and Applied Partial Differential Equations,3,1,0,4,4,Theory,,Mathematics
390,2023,2,3,ODD,Chemical Engineering,CY23334,Physical and Organic Chemistry,3,0,2,4,4,LOT,Chemistry Lab,Chemistry
391,2023,2,3,ODD,Chemical Engineering,CH23311,Solid Mechanics,2,1,0,3,3,Theory,,Chemical Engineering
392,2023,2,3,ODD,Chemical Engineering,CH23312,Chemical Process Calculations,2,1,0,3,3,Theory,,Chemical Engineering
393,2023,2,3,ODD,Chemical Engineering,CH23313,Chemical Process Industries,3,0,0,3,3,Theory,,Chemical Engineering
394,2023,2,3,ODD,Chemical Engineering,CH23331,Fluid Mechanics for Chemical Engineers,3,1,2,4,6,LOT,Fluid Mechanics Lab,Chemical Engineering
396,2023,2,4,EVEN,Chemical Engineering,MA23431,"Probability, Statistics and Reliability",3,0,2,4,4,Theory,,Mathematics
397,2023,2,4,EVEN,Chemical Engineering,CH23411,Thermodynamics,3,0,0,3,3,Theory,,Chemical Engineering
398,2023,2,4,EVEN,Chemical Engineering,CH23412,Heat Transfer,3,0,0,3,3,Theory,,Chemical Engineering
399,2023,2,4,EVEN,Chemical Engineering,CH23431,Particle science and Technology,3,0,2,4,5,LOT,Particle Science and Technology Lab,Chemical Engineering
400,2023,2,4,EVEN,Chemical Engineering,OE - 1,Open Elective - I,3,0,0,3,3,Open Elective,,Common Open Elective
401,2023,2,4,EVEN,Chemical Engineering,CS23411,Python Programming for Machine Learning,1,0,4,3,3,LOT,Computer Application in Chemical Engg lab,Computer Science and Engineering
402,2023,2,4,EVEN,Chemical Engineering,GE23327,Soft Skills – I,0,0,2,1,1,Laboratory,SoftSkill,Placement
403,2023,2,4,EVEN,Chemical Engineering,CH23421,Technical Analysis Lab,0,0,4,2,4,Laboratory,Technical Analysis Lab,Chemical Engineering
404,2023,3,5,ODD,Chemical Engineering,CH23511,Process Engineering Economics,3,0,0,3,3,Theory,,Chemical Engineering
405,2023,3,5,ODD,Chemical Engineering,CH23512,Chemical Engineering Thermodynamics,3,0,0,3,3,Theory,,Chemical Engineering
406,2023,3,5,ODD,Chemical Engineering,CH23513,Mass Transfer I,3,0,0,3,3,Theory,,Chemical Engineering
407,2023,3,5,ODD,Chemical Engineering,CH23514,Chemical Reaction Engineering I,3,0,0,3,3,Theory,,Chemical Engineering
408,2023,3,5,ODD,Chemical Engineering,CHPE1,Professional Elective – I,3,0,0,3,3,Professional Elective,,Chemical Engineering
409,2023,3,5,ODD,Chemical Engineering,OE - 2,Open Elective - II,3,0,0,3,3,Open Elective,,Common Open Elective
410,2023,3,5,ODD,Chemical Engineering,GE23427,Soft Skills – II,0,0,2,1,1,Laboratory,SoftSkill,Placement
411,2023,3,5,ODD,Chemical Engineering,CH23521,Heat Transfer Lab,0,0,4,2,4,Laboratory,Thermal Lab 1,Chemical Engineering
412,2023,3,5,ODD,Chemical Engineering,CR23P51,Microfluidics Laboratory,0,0,2,1,,Laboratory,,Electrical and Electronics Engineering
414,2023,3,6,EVEN,Chemical Engineering,CH23611,Mass Transfer II,3,0,0,3,3,Theory,,Chemical Engineering
